na_item,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
B1GQ,CP_MEUR,DE	2220080.0 	2270620.0 	2300860.0 	2393250.0 	2513230.0 	2561740.0 	2460280.0 	2580060.0 	2703120.0 	2754860.0 	2820820.0 	2915650.0 
B1GQ,CP_MEUR,DK	193353.4 	202317.4 	212906.5 	225592.0 	233439.5 	241087.3 	230213.3 	241516.9 	246074.7 	252915.2 	255235.4 	260581.6 
B1GQ,CP_MEUR,EA	7719244.5 	8042609.4 	8324660.0 	8750598.7 	9254257.9 	9494935.4 	9228234.7 	9483846.6 	9751778.1 	9793603.4 	9894554.6 	10090580.2 
B1GQ,CP_MEUR,EA18	7812413.7 	8145223.9 	8438272.5 	8879837.3 	9372350.1 	9601528.6 	9261188.9 	9516570.8 	9771975.1 	9815820.4 	9917819.6 	10090580.2 
B1GQ,CP_MEUR,EA19	7828983.2 	8163461.3 	8459274.8 	8903916.5 	9401390.8 	9634224.9 	9288123.7 	9544572.1 	9803222.4 	9849134.4 	9952775.2 	10126889.1 
B1GQ,CP_MEUR,EE	8708.9 	9707.7 	11262.3 	13521.7 	16246.4 	16517.3 	14145.9 	14718.5 	16667.6 	18006.0 	19014.9 	19962.7 
B1GQ,CP_MEUR,EL	178904.9 	193715.8 	199242.3 	217861.6 	232694.6 	241990.4 	237534.2 	226031.4 	207028.9 p	191203.9 p	180389.0 p	177559.4 p
B1GQ,CP_MEUR,ES	803472.0 	861420.0 	930566.0 	1007974.0 	1080807.0 	1116207.0 	1079034.0 	1080913.0 	1070413.0 	1042872.0 p	1031272.0 p	1041160.0 p
B1GQ,CP_MEUR,EU28	10493789.6 	11022328.8 	11510087.9 	12177005.1 	12909441.5 	12993621.0 	12249585.5 	12794296.1 	13177263.3 	13428968.2 	13541722.8 	13944015.3 
B1GQ,CP_MEUR,FI	151569.0 	158477.0 	164387.0 	172614.0 	186584.0 	193711.0 	181029.0 	187100.0 	196869.0 	199793.0 	202743.0 	205178.0 
B1GQ,CP_MEUR,FR	1637438.0 	1710760.0 	1771978.0 	1853267.0 	1945670.0 	1995850.0 	1939017.0 	1998481.0 	2059284.0 	2086929.0 	2116565.0 	2132449.0 
B1GQ,CP_MEUR,HR	30702.7 	33464.5 	36508.4 	40197.8 	43925.8 	48129.8 	45090.7 	45004.3 	44708.6 	43933.7 	43561.5 	43084.8 
B1GQ,CP_MEUR,HU	75174.4 	83496.8 	90543.0 	91345.0 	101605.9 	107503.1 	93670.7 	98198.4 	100704.5 	98972.8 	101273.3 	104239.1 
B1GQ,CP_MEUR,IE	145779.4 	156176.6 	169977.7 	184923.3 	197053.7 	187547.2 	169431.7 	166157.5 	173940.0 	174844.2 	179447.7 	189045.9 
B1GQ,CP_MEUR,IS	10001.0 	11039.0 	13484.6 	13627.6 	15565.2 	10719.5 	9204.9 	9995.1 	10534.7 	11046.4 	11569.8 	12845.5 
B1GQ,CP_MEUR,IT	1391312.8 	1449016.0 	1490409.4 	1549188.0 	1610304.9 	1632933.4 	1573655.1 	1605694.4 	1638857.3 	1614672.5 	1606894.7 	1613859.1 
B1GQ,CP_MEUR,LT	16668.7 	18237.4 	21002.4 	24079.2 	29040.7 	32696.3 	26934.8 	28027.7 	31263.1 	33334.7 	34962.2 	36444.4 
B1GQ,CP_MEUR,LU	25877.3 	27660.5 	29733.5 	33409.3 	36766.1 	37647.4 	36268.2 	39525.5 	42226.9 	43574.1 	46541.1 	48897.5 
B1GQ,CP_MEUR,LV	10466.5 	11662.1 	13710.6 	17235.0 	22639.5 	24317.9 	18731.2 	17772.4 	20144.2 	21982.7 	22805.2 	23580.9 
B1GQ,CP_MEUR,MK	4385.9 	4577.7 	5032.0 	5472.2 	6095.7 	6744.0 	6765.9 	7108.3 	7550.2 	7585.8 	8160.6 	8534.6 p
B1GQ,CP_MEUR,MT	4794.7 	4867.2 	5142.1 	5386.1 	5757.5 	6128.7 	6138.6 	6599.5 	6892.8 	7205.0 	7533.6 	7941.3 
