"","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Populacija z izobrazbo na stopnji med 0 in 2 (%)",24,22.8,22.2,21.9,20.8,20.9,19.7,19,18.5,18.4
"Populacija z izobrazbo na stopnji 3 iali 4 (%)",59.4,59.4,59.3,59.2,59.6,58.9,58.8,58,57.1,56.5
"Populacija z izobrazbo na stopnji med 5 in 8 (%)",16.7,17.8,18.5,19,19.6,20.2,21.6,23,24.4,25.1
"Razpolozljivi dohodek na gospodinjstvo (eur)",8797,9317,9907,10893,11864,11736,11999,12122,11852,11909
